email,nickname,password,photo,filename,contentType
charli@demomail.com,Charli Guerra,pass1234,https://i.postimg.cc/hGTgJNJC/avatar01.jpg,avatar01.jpg,image/jpeg
stuart@demomail.com,Stuart Miller,pass1234,https://i.postimg.cc/NFfwzMdV/avatar02.jpg,avatar02.jpg,image/jpeg
will@demomail.com,Will Chaney,pass1234,https://i.postimg.cc/Hxmmb3XT/avatar03.jpg,avatar03.jpg,image/jpeg
arnold@demomail.com,Arnold Dawe,pass1234,https://i.postimg.cc/rm9kjWNx/avatar04.jpg,avatar04.jpg,image/jpeg
denzel@demomail.com,Denzel Durham,pass1234,https://i.postimg.cc/HnZCDgKL/avatar05.jpg,avatar05.jpg,image/jpeg
leela@demomail.com,Leela Elliott,pass1234,https://i.postimg.cc/pVqvnfTt/avatar06.jpg,avatar06.jpg,image/jpeg
olive@demomail.com,Olive Feeney,pass1234,https://i.postimg.cc/RVhB1W6J/avatar07.jpg,avatar07.jpg,image/jpeg
kinga@demomail.com,Kinga Akhtar,pass1234,https://i.postimg.cc/J4FWpRZ6/avatar08.jpg,avatar08.jpg,image/jpeg
catrina@demomail.com,Catrina Aguirre,pass1234,https://i.postimg.cc/N0qvwbNR/avatar09.jpg,avatar09.jpg,image/jpeg
eva@demomail.com,Eva Pitts,pass1234,https://i.postimg.cc/2SBNJgxz/avatar10.jpg,avatar10.jpg,image/jpeg
